original	converted	r1_clipping	r1_brightness	r1_hue	r2_clipping	r2_brightness	r2_hue	rae_unint	rmse_unint	rmae_unint	rpae_unint	ssim_h_int	ssim_s_int	ssim_v_int	rae_int	rmse_int
originals/DSC_3045_.NEF	converted_AdobeDNC/DSC_3045_AdobeDNC.dng	2	2	3	2	2	3					0.99869454	0.99691695	0.9988494		
originals/DSC_3046_.NEF	converted_AdobeDNC/DSC_3046_AdobeDNC.dng	2	2	3	2	2	3					0.9984816	0.9976827	0.99809486		
originals/DSC_3047_.NEF	converted_AdobeDNC/DSC_3047_AdobeDNC.dng	2	2	3	2	2	3					0.9986542	0.9977804	0.99915296		
originals/DSC_3049_.NEF	converted_AdobeDNC/DSC_3049_AdobeDNC.dng	2	2	3	2	2	3					0.99850184	0.9979408	0.9985499		
originals/DSC_3051_.NEF	converted_AdobeDNC/DSC_3051_AdobeDNC.dng	2	2	3	2	2	3					0.99856526	0.99774593	0.9983989		
originals/DSC_3052_.NEF	converted_AdobeDNC/DSC_3052_AdobeDNC.dng	2	2	3	2	2	3					0.9972693	0.996406	0.9979592		
originals/DSC_3055_.NEF	converted_AdobeDNC/DSC_3055_AdobeDNC.dng	2	2	3	2	2	3					0.99842465	0.99780023	0.99797803		
originals/DSC_3056_.NEF	converted_AdobeDNC/DSC_3056_AdobeDNC.dng	2	2	3	2	2	3					0.99711347	0.9966876	0.9987296		
originals/DSC_3059_.NEF	converted_AdobeDNC/DSC_3059_AdobeDNC.dng	3	2	3	3	2	3					0.99878126	0.9983521	0.99895525		
originals/DSC_3061_.NEF	converted_AdobeDNC/DSC_3061_AdobeDNC.dng	3	2	3	3	2	3					0.99885124	0.9986437	0.99908113		
originals/DSC_3065_.NEF	converted_AdobeDNC/DSC_3065_AdobeDNC.dng	3	2	3	3	2	3					0.9987722	0.9983392	0.99911827		
originals/DSC_3087_.NEF	converted_AdobeDNC/DSC_3087_AdobeDNC.dng	3	2	3	3	2	3					0.9987817	0.99907726	0.9991555		
originals/DSC_3088_.NEF	converted_AdobeDNC/DSC_3088_AdobeDNC.dng	3	2	3	3	2	3					0.99855024	0.9986202	0.99894917		
originals/DSC_3094_.NEF	converted_AdobeDNC/DSC_3094_AdobeDNC.dng	3	2	3	3	2	3					0.9985375	0.9986235	0.99911445		
originals/DSC_3095_.NEF	converted_AdobeDNC/DSC_3095_AdobeDNC.dng	3	2	3	3	2	3					0.9985372	0.99837613	0.9990147		
originals/DSC_3096_.NEF	converted_AdobeDNC/DSC_3096_AdobeDNC.dng	3	2	3	3	2	3					0.9984677	0.99785364	0.9987297		
originals/DSC_3097_.NEF	converted_AdobeDNC/DSC_3097_AdobeDNC.dng	3	2	3	3	2	3					0.9986078	0.99808204	0.9984915		
originals/DSC_3101_.NEF	converted_AdobeDNC/DSC_3101_AdobeDNC.dng	3	2	3	3	2	3					0.99681026	0.9966859	0.9986135		
originals/DSC_3102_.NEF	converted_AdobeDNC/DSC_3102_AdobeDNC.dng	3	2	3	2	2	3					0.9962433	0.99682903	0.9983659		
originals/DSC_3104_.NEF	converted_AdobeDNC/DSC_3104_AdobeDNC.dng	3	2	3	2	2	3					0.99611706	0.9968317	0.99816966		
originals/DSC_3108_.NEF	converted_AdobeDNC/DSC_3108_AdobeDNC.dng	3	2	3	2	2	3					0.9975073	0.9977188	0.9987564		
originals/DSC_3110_.NEF	converted_AdobeDNC/DSC_3110_AdobeDNC.dng	3	2	3	2	2	3					0.9964071	0.99696016	0.998281		
originals/DSC_3113_.NEF	converted_AdobeDNC/DSC_3113_AdobeDNC.dng	3	2	3	2	2	3					0.9964357	0.99687225	0.9983646		
originals/DSC_3114_.NEF	converted_AdobeDNC/DSC_3114_AdobeDNC.dng	3	2	3	2	2	3					0.9963305	0.99687284	0.9982503		
originals/DSC_3115_.NEF	converted_AdobeDNC/DSC_3115_AdobeDNC.dng	3	2	3	2	2	3					0.99690354	0.99708086	0.9983786		
originals/DSC_3116_.NEF	converted_AdobeDNC/DSC_3116_AdobeDNC.dng	3	2	3	2	2	3					0.9968033	0.9971906	0.9984679		
originals/DSC_3117_.NEF	converted_AdobeDNC/DSC_3117_AdobeDNC.dng	3	2	3	2	2	3					0.9968312	0.9969196	0.9984797		
originals/DSC_3118_.NEF	converted_AdobeDNC/DSC_3118_AdobeDNC.dng	2	2	3	2	2	3					0.9966425	0.9966822	0.99894756		
originals/DSC_3121_.NEF	converted_AdobeDNC/DSC_3121_AdobeDNC.dng	2	2	3	2	2	3					0.9972709	0.9970683	0.99906474		
originals/DSC_3122_.NEF	converted_AdobeDNC/DSC_3122_AdobeDNC.dng	2	2	3	2	2	3					0.99808806	0.9976133	0.9991264		
originals/DSC_3123_.NEF	converted_AdobeDNC/DSC_3123_AdobeDNC.dng	2	2	3	2	2	3					0.9974865	0.99716306	0.9991336		
originals/DSC_3124_.NEF	converted_AdobeDNC/DSC_3124_AdobeDNC.dng	2	2	3	2	2	3					0.99728596	0.9967399	0.99921936		
originals/DSC_3127_.NEF	converted_AdobeDNC/DSC_3127_AdobeDNC.dng	3	2	3	2	2	3					0.9979701	0.99753577	0.9993108		
originals/DSC_3128_.NEF	converted_AdobeDNC/DSC_3128_AdobeDNC.dng	3	2	3	2	2	3					0.9974767	0.99740577	0.9992773		
originals/DSC_3129_.NEF	converted_AdobeDNC/DSC_3129_AdobeDNC.dng	3	2	3	2	2	3					0.997655	0.997135	0.99914235		
originals/DSC_3130_.NEF	converted_AdobeDNC/DSC_3130_AdobeDNC.dng	3	2	3	2	2	3					0.9971745	0.9971254	0.9990717		
originals/DSC_3131_.NEF	converted_AdobeDNC/DSC_3131_AdobeDNC.dng	3	2	3	2	2	3					0.99791247	0.9976927	0.9988693		
originals/DSC_3138_.NEF	converted_AdobeDNC/DSC_3138_AdobeDNC.dng	2	2	3	2	2	3					0.9987184	0.99870944	0.999329		
originals/DSC_3150_.NEF	converted_AdobeDNC/DSC_3150_AdobeDNC.dng	2	2	3	2	2	3					0.9979797	0.9969633	0.9994695		
originals/DSC_3165_.NEF	converted_AdobeDNC/DSC_3165_AdobeDNC.dng	3	2	3	2	2	3					0.99842733	0.99686235	0.99941653		
originals/DSC_3167_.NEF	converted_AdobeDNC/DSC_3167_AdobeDNC.dng	3	2	3	2	2	3					0.99858946	0.9970417	0.9994345		
originals/DSC_3169_.NEF	converted_AdobeDNC/DSC_3169_AdobeDNC.dng	3	2	3	2	2	3					0.99845105	0.9966977	0.99937093		
