original	converted	r1_clipping	r1_brightness	r1_hue	r2_clipping	r2_brightness	r2_hue	rae_unint	rmse_unint	rmae_unint	rpae_unint	ssim_h_int	ssim_s_int	ssim_v_int	rae_int	rmse_int
originals/D700_PN_DSC_4607_.NEF	converted_AdobeDNC/D700_PN_DSC_4607_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99788076	0.99546266	0.9995962	0.68613744	1.3705499E-006
originals/D700_PN_DSC_4745_.NEF	converted_AdobeDNC/D700_PN_DSC_4745_AdobeDNC.dng	3	3	3	3	3	3					0.9757194	0.9698825	0.9973758		
originals/D700_PN_DSC_4769_.NEF	converted_AdobeDNC/D700_PN_DSC_4769_AdobeDNC.dng	3	3	3	3	3	3					0.99543655	0.9850245	0.99866277		
originals/D700_PN_DSC_4931_.NEF	converted_AdobeDNC/D700_PN_DSC_4931_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9980353	0.9953453	0.99953157	0.8858413	1.1414741E-006
originals/D700_PN_DSC_5284_.NEF	converted_AdobeDNC/D700_PN_DSC_5284_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9989481	0.9950735	0.9992323	0.8566258	0.000001819
originals/D700_PN_DSC_5424_.NEF	converted_AdobeDNC/D700_PN_DSC_5424_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9949536	0.99105847	0.9978073	0.9997917	4.3545082E-005
originals/D700_PN_DSC_5526_.NEF	converted_AdobeDNC/D700_PN_DSC_5526_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99840695	0.9987436	0.9998556	0.9482703	5.9235583E-007
originals/D700_PN_DSC_5590_.NEF	converted_AdobeDNC/D700_PN_DSC_5590_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9942055	0.99549365	0.9995296	0.7774333	9.482601E-007
originals/D700_PN_DSC_5641_.NEF	converted_AdobeDNC/D700_PN_DSC_5641_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9887957	0.98072064	0.99740493	0.99996716	0.000041864
originals/D700_PN_DSC_5670_.NEF	converted_AdobeDNC/D700_PN_DSC_5670_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9982318	0.99704254	0.99981606	0.7427384	1.8003959E-006
originals/D700_PN_DSC_5705_.NEF	converted_AdobeDNC/D700_PN_DSC_5705_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99739176	0.99622136	0.9996554	0.7303448	1.7197074E-006
originals/D700_PN_DSC_5787_.NEF	converted_AdobeDNC/D700_PN_DSC_5787_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99549115	0.9886554	0.9976407	0.9999704	4.4486926E-005
originals/D700_PN_DSC_5796_.NEF	converted_AdobeDNC/D700_PN_DSC_5796_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99805415	0.99690396	0.9997517	0.8024348	0.000001912
originals/D700_PN_DSC_5814_.NEF	converted_AdobeDNC/D700_PN_DSC_5814_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99644023	0.99427027	0.99935997	0.8697358	0.000002545
originals/D700_PN_DSC_5864_.NEF	converted_AdobeDNC/D700_PN_DSC_5864_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9977083	0.9953487	0.99957544	0.7059754	2.1970845E-006
originals/D700_PN_DSC_6042_.NEF	converted_AdobeDNC/D700_PN_DSC_6042_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9990846	0.99685204	0.99969476	0.94126135	3.7062314E-006
originals/D700_PN_DSC_6263_.NEF	converted_AdobeDNC/D700_PN_DSC_6263_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9942197	0.99279356	0.9996032	0.90316534	2.5315042E-006
originals/D700_PN_DSC_6316_.NEF	converted_AdobeDNC/D700_PN_DSC_6316_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9759113	0.98031586	0.9988837	0.9993743	2.9365829E-005
originals/D700_PN_DSC_7179_.NEF	converted_AdobeDNC/D700_PN_DSC_7179_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9956271	0.99107057	0.9990416	0.98480403	1.3408137E-005
originals/D700_PN_DSC_7941_.NEF	converted_AdobeDNC/D700_PN_DSC_7941_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9950774	0.98488593	0.998079	0.9954297	1.9690317E-005
originals/D700_PN_DSC_8622_.NEF	converted_AdobeDNC/D700_PN_DSC_8622_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99396837	0.98927844	0.9971953	0.98073083	1.2373796E-005
originals/D700_PN_DSC_8735_.NEF	converted_AdobeDNC/D700_PN_DSC_8735_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99222547	0.99208087	0.99919075	0.9998731	2.9887386E-005
originals/D700_PN_DSC_9047_.NEF	converted_AdobeDNC/D700_PN_DSC_9047_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.97850084	0.9746009	0.9980713	0.99675715	3.0497376E-005
originals/D800_KPIC_1_.NEF	converted_AdobeDNC/D800_KPIC_1_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.999212	0.9952451	0.9992169	0.9013015	2.7182973E-006
originals/D800_KPIC_2_.NEF	converted_AdobeDNC/D800_KPIC_2_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99770766	0.99738765	0.9992505	0.9834073	9.726608E-007
originals/DSC_0141_.NEF	converted_AdobeDNC/DSC_0141_AdobeDNC.dng	3	3	2	3	3	3					0.92713696	0.7816366	0.9408504		
originals/DSC_2265_.NEF	converted_AdobeDNC/DSC_2265_AdobeDNC.dng	3	3	3	3	3	3					0.9721725	0.7838598	0.9674725		
originals/DSC_2599_.NEF	converted_AdobeDNC/DSC_2599_AdobeDNC.dng	3	3	3	3	3	3					0.9667991	0.82456505	0.97673243		
originals/DSC_2982_.NEF	converted_AdobeDNC/DSC_2982_AdobeDNC.dng	3	3	3	3	3	3					0.8947163	0.7779953	0.9647649		
originals/DSC_2984_.NEF	converted_AdobeDNC/DSC_2984_AdobeDNC.dng	3	3	3	3	3						0.94632316	0.8587264	0.9748387		
originals/DSC_2986_.NEF	converted_AdobeDNC/DSC_2986_AdobeDNC.dng	3	3	3	3	3	3					0.9428148	0.76090807	0.9405331		
originals/DSC_2987_.NEF	converted_AdobeDNC/DSC_2987_AdobeDNC.dng	3	3	3	3	3	3					0.9247161	0.8295164	0.97470295		
originals/DSC_2988_.NEF	converted_AdobeDNC/DSC_2988_AdobeDNC.dng	3	3	3	3	3	3					0.97112626	0.8858773	0.9782384		
originals/DSC_2991_.NEF	converted_AdobeDNC/DSC_2991_AdobeDNC.dng	3	3	3	3	3	3					0.9658833	0.79229987	0.95978534		
originals/DSC_3006_.NEF	converted_AdobeDNC/DSC_3006_AdobeDNC.dng	3	3	3	3	3	3					0.90623575	0.7867995	0.9808076		
originals/DSC_3015_.NEF	converted_AdobeDNC/DSC_3015_AdobeDNC.dng	3	3	3	3	3	3					0.91831475	0.760656	0.9467387		
originals/DSC_3022_.NEF	converted_AdobeDNC/DSC_3022_AdobeDNC.dng	3	3	3	3	3	3					0.8980546	0.73824686	0.95586693		
originals/DSC_3023_.NEF	converted_AdobeDNC/DSC_3023_AdobeDNC.dng	3	3	3	3	3	3					0.93040115	0.77971995	0.9642953		
originals/DSC_3024_.NEF	converted_AdobeDNC/DSC_3024_AdobeDNC.dng	3	3	3	3	3	3					0.9163924	0.7990158	0.95253086		
originals/DSC_3025_.NEF	converted_AdobeDNC/DSC_3025_AdobeDNC.dng	3	3	3	3	3	3					0.91705936	0.7757653	0.94330424		
originals/DSC_3029_.NEF	converted_AdobeDNC/DSC_3029_AdobeDNC.dng	3	3	3	3	3	3					0.9033149	0.79256797	0.9093594		
originals/DSC_3030_.NEF	converted_AdobeDNC/DSC_3030_AdobeDNC.dng	3	3	3	3	3	3					0.9851032	0.6196463	0.9324651		
originals/DSC_3031_.NEF	converted_AdobeDNC/DSC_3031_AdobeDNC.dng	3	3	3	3	3	3					0.7940569	0.6169406	0.87888646		
originals/DSC_3032_.NEF	converted_AdobeDNC/DSC_3032_AdobeDNC.dng	3	3	3	3	3	3					0.81841046	0.55146766	0.93806005		
originals/DSC_3036_.NEF	converted_AdobeDNC/DSC_3036_AdobeDNC.dng	3	3	3	3	3	3					0.8031801	0.5640557	0.9363806		
originals/DSC_3037_.NEF	converted_AdobeDNC/DSC_3037_AdobeDNC.dng	3	3	3	3	3	3					0.80257875	0.55672693	0.9353476		
originals/DSC_3038_.NEF	converted_AdobeDNC/DSC_3038_AdobeDNC.dng	3	3	3	3	3	3					0.79594064	0.5556591	0.93615085		
originals/DSC_3040_.NEF	converted_AdobeDNC/DSC_3040_AdobeDNC.dng	3	3	3	3	3	3					0.8626464	0.76625365	0.92839444		
originals/DSC_3044_.NEF	converted_AdobeDNC/DSC_3044_AdobeDNC.dng	3	3	3	3	3	3					0.962227	0.7213142	0.95047975		
originals/DSC_3045_.NEF	converted_AdobeDNC/DSC_3045_AdobeDNC.dng	3	3	3	3	3	3					0.92987174	0.7449154	0.94215834		
originals/DSC_3046_.NEF	converted_AdobeDNC/DSC_3046_AdobeDNC.dng	3	3	3	3	3	3					0.86100525	0.64443535	0.9231228		
originals/DSC_3047_.NEF	converted_AdobeDNC/DSC_3047_AdobeDNC.dng	3	3	3	3	3	3					0.8732017	0.5619559	0.94820064		
originals/DSC_3049_.NEF	converted_AdobeDNC/DSC_3049_AdobeDNC.dng	3	3	3	3	3	3					0.87833124	0.627202	0.93292344		
originals/DSC_3051_.NEF	converted_AdobeDNC/DSC_3051_AdobeDNC.dng	3	3	3	3	3	3					0.8802814	0.62809205	0.9312028		
originals/DSC_3052_.NEF	converted_AdobeDNC/DSC_3052_AdobeDNC.dng	3	3	3	3	3	3					0.8697147	0.62868494	0.9261637		
originals/DSC_3055_.NEF	converted_AdobeDNC/DSC_3055_AdobeDNC.dng	3	3	3	3	3	3					0.85402775	0.6449588	0.91242796		
originals/DSC_3056_.NEF	converted_AdobeDNC/DSC_3056_AdobeDNC.dng	3	3	3	3	3	3					0.8423636	0.76033646	0.93651134		
originals/DSC_3059_.NEF	converted_AdobeDNC/DSC_3059_AdobeDNC.dng	3	3	3	3	3	3					0.8705914	0.68721443	0.94417375		
originals/DSC_3061_.NEF	converted_AdobeDNC/DSC_3061_AdobeDNC.dng	3	3	3	3	3	3					0.88633335	0.6363062	0.95295614		
originals/DSC_3065_.NEF	converted_AdobeDNC/DSC_3065_AdobeDNC.dng	3	3	3	3	3	3					0.8712838	0.6086171	0.9570241		
originals/DSC_3087_.NEF	converted_AdobeDNC/DSC_3087_AdobeDNC.dng	3	3	3	3	3	3					0.90287215	0.6256131	0.954625		
originals/DSC_3088_.NEF	converted_AdobeDNC/DSC_3088_AdobeDNC.dng	3	3	3	3	3	3					0.89101136	0.6169251	0.95716786		
